UNIDADE,FONTE,CONDIÇÃO IDENTIFICADA,AÇÃO INDICADA,SETOR RESPONSÁVEL,SITUAÇÃO,ORÇAMENTO,APROVADO?,REALIZADO?,OBSERVAÇÕES
MATRIZ BANGU,,Pintura geral do pátio,Reforçar organização e apresentação institucional,,,,,,
MATRIZ BANGU,,Pintura da secretaria,Reforçar organização e apresentação institucional,,,,,,
MATRIZ BANGU,,Implantação de controle eletrônico de entrada e frequência de alunos,"Solução definitiva para controle de acesso, substituindo métodos manuais ineficientes",,,,,,
MATRIZ BANGU,,Instalação de isolamento acústico,Reduzir propagação de som e incômodo aos vizinhos,,,,,,
MATRIZ BANGU,,Substituição de mobiliário antigo,Renovar infraestrutura em função de descartes,,,,,,
MATRIZ BANGU,,Mesas plásticas para refeições,Suporte ao horário de almoço e lanche dos alunos,,,,,,
MATRIZ BANGU,,Compra de projetores multimídia para aulas e projetos,"Suporte a aulas dinâmicas, apresentações e atividades pedagógicas",,,,,,
MATRIZ CAMPO GRANDE,,Substituição de carteiras quebradas e inadequadas,"Garantir conforto, segurança e renovação do mobiliário",,,,,,
MATRIZ CAMPO GRANDE,,Pintura geral do pátio,Preservar ambiente adequado ao convívio,,,,,,
MATRIZ CAMPO GRANDE,,Pintura interna das salas,Reforçar boa apresentação e ambiente de aprendizado,,,,,,
MATRIZ CAMPO GRANDE,,Pintura do piso e paredes da quadra,Melhorar estética e funcionalidade do espaço esportivo,,,,,,
MATRIZ CAMPO GRANDE,,Pintura dos corredores de circulação,Reforçar organização e boa apresentação institucional,,,,,,
MATRIZ CAMPO GRANDE,,Pintura dos corrimões e áreas de escada,Manutenção estética e segurança estrutural,,,,,,
MATRIZ CAMPO GRANDE,,Pintura geral dos banheiros,"Garantir higiene, estética e conservação",,,,,,
MATRIZ CAMPO GRANDE,,Pintura geral dos banheiros da unidade,Melhorar higiene e estética dos ambientes sanitários,,,,,,
MATRIZ CAMPO GRANDE,,Troca de porta estilo loja por portão fechado,Eliminar vulnerabilidade de acesso indevido,,,,,,
MATRIZ CAMPO GRANDE,,Controle eletrônico de entrada e frequência,Substituir métodos manuais e aumentar confiabilidade no controle,,,,,,
MATRIZ CAMPO GRANDE,,Compra de projetores multimídia para aulas e projetos,"Suporte a aulas dinâmicas, apresentações e atividades pedagógicas",,,,,,
MATRIZ CAXIAS,,Recuperação da quadra esportiva: reparos em partes metálicas,Garantir segurança e valorização do ambiente esportivo,,,,,,
MATRIZ CAXIAS,,Troca de cadeiras antigas e inadequadas,"Melhorar conforto, ergonomia e desempenho dos alunos",,,,,,
MATRIZ CAXIAS,,Construção de janela para ventilação e eliminação de odor causado por caixa de esgoto abaixo da sala,"Melhorar qualidade do ar, conforto e saúde no ambiente de trabalho",,,,,,
MATRIZ CAXIAS,,"Substituição das atuais, com braços e reguladores danificados","Garantir ergonomia, saúde e produtividade dos colaboradores",,,,,,
MATRIZ CAXIAS,,Compra de projetores multimídia para aulas e projetos,"Suporte a aulas dinâmicas, apresentações e atividades pedagógicas",,,,,,
MATRIZ CAXIAS,,Pintura geral do pátio,Garantir ambiente acolhedor e adequado ao convívio,,,,,,
MATRIZ CAXIAS,,Pintura de todas as salas,Preservar boa apresentação e ambiente adequado ao aprendizado,,,,,,
MATRIZ CAXIAS,,Pintura de piso e paredes da quadra,Melhorar estética e funcionalidade do espaço esportivo,,,,,,
MATRIZ CAXIAS,,Pintura dos corredores de circulação,Reforçar organização e apresentação institucional,,,,,,
MATRIZ CAXIAS,,Pintura de corrimões e áreas de escada,Preservar aparência e segurança das estruturas,,,,,,
MATRIZ CAXIAS,,Pintura geral dos banheiros da unidade,Melhorar higiene e estética dos ambientes sanitários,,,,,,
MATRIZ CAXIAS,,Pintura geral do pátio,Reforçar organização e apresentação institucional,,,,,,
MATRIZ CAXIAS,,Pintura da secretaria,Reforçar organização e apresentação institucional,,,,,,
MATRIZ MADUREIRA,,Pintura externa com atualização das palavras que representam os valores institucionais,Modernizar a imagem da unidade e reforçar atração de novas matrículas,,,,,,
MATRIZ MADUREIRA,,Substituição de lona deteriorada e retirada da marca do parceiro Farias Brito,Atualizar comunicação institucional,,,,,,
MATRIZ MADUREIRA,,Substituição da estrutura externa em deterioração,Segurança e modernização da imagem,,,,,,
MATRIZ MADUREIRA,,Substituição da tampa danificada localizada no piso,Prevenção de acidentes,,,,,,
MATRIZ MADUREIRA,,Instalação em ponto estratégico de vigilância,Segurança dos alunos e colaboradores,,,,,,
MATRIZ MADUREIRA,,Instalação no corredor de acesso às salas,Segurança,,,,,,
MATRIZ MADUREIRA,,Corredores e escadas do 1º andar,Segurança,,,,,,
MATRIZ MADUREIRA,,Instalação de câmera das escadas do 1º andar,Segurança,,,,,,
MATRIZ MADUREIRA,,Recuperação do piso antiderrapante,Segurança durante práticas esportivas,,,,,,
MATRIZ MADUREIRA,,Instalação de novas traves,Adequação esportiva,,,,,,
MATRIZ MADUREIRA,,Portão no corredor de acesso lateral,Segurança de alunos e colaboradores,,,,,,
MATRIZ MADUREIRA,,Construção de porta e acabamento em drywall com depósito de apoio,Armazenamento seguro e otimização de espaço,,,,,,
MATRIZ MADUREIRA,,"Recuperação do piso (buracos, manchas, ralo exposto e odor)",Melhoria do ambiente escolar,,,,,,
MATRIZ MADUREIRA,,Renovação das paredes adesivadas deterioradas,Modernização do espaço,,,,,,
MATRIZ MADUREIRA,,Recuperação de piso e pintura geral,Melhoria do ambiente escolar,,,,,,
MATRIZ MADUREIRA,,"Recuperação de pisos danificados, rachaduras e desgaste de resina",Melhoria do ambiente escolar,,,,,,
MATRIZ MADUREIRA,,Substituição de equipamentos inoperantes (10 unidades),Melhoria da comunicação interna,,,,,,
MATRIZ MADUREIRA,,Novos conjuntos de convivência,Espaço de interação para alunos,,,,,,
MATRIZ MADUREIRA,,Compra adicional mediante expansão de salas,Suporte à ampliação de capacidade,,,,,,
MATRIZ MADUREIRA,,Substituição por desgaste estrutural,Melhoria do ambiente escolar,,,,,,
MATRIZ MADUREIRA,,Recuperação estrutural de pilastra comprometida,Segurança e preservação da estrutura,,,,,,
MATRIZ MADUREIRA,,Recuperação de tótem e logomarca desbotados,Modernização da imagem institucional,,,,,,
MATRIZ MADUREIRA,,A logomarca fixada na parede está desbotada,Modernizar a imagem da unidade para atrair novas matrículas,,,,,,
MATRIZ MADUREIRA,,Implantação de controle eletrônico de entrada e frequência de alunos,"Solução definitiva para controle de acesso, substituindo métodos manuais ineficientes",,,,,,
MATRIZ MADUREIRA,,Pintura geral do pátio,Garantir ambiente acolhedor e adequado ao convívio,,,,,,
MATRIZ MADUREIRA,,Pintura de todas as salas,Preservar boa apresentação e ambiente adequado ao aprendizado,,,,,,
MATRIZ MADUREIRA,,Pintura de piso e paredes da quadra,Melhorar estética e funcionalidade do espaço esportivo,,,,,,
MATRIZ MADUREIRA,,Pintura dos corredores de circulação,Reforçar organização e apresentação institucional,,,,,,
MATRIZ MADUREIRA,,Pintura de corrimões e áreas de escada,Preservar aparência e segurança das estruturas,,,,,,
MATRIZ MADUREIRA,,Pintura geral dos banheiros da unidade,Melhorar higiene e estética dos ambientes sanitários,,,,,,
MATRIZ MADUREIRA,,Pintura geral do pátio,Reforçar organização e apresentação institucional,,,,,,
MATRIZ MADUREIRA,,Pintura da secretaria,Reforçar organização e apresentação institucional,,,,,,
MATRIZ MADUREIRA,,Compra de projetores multimídia para aulas e projetos,"Suporte a aulas dinâmicas, apresentações e atividades pedagógicas",,,,,,
MATRIZ NOVA IGUAÇU,,Instalação de pontos de energia nas paredes da quadra,"Necessidade em eventos e atividades, hoje sem infraestrutura adequada",,,,,,
MATRIZ NOVA IGUAÇU,,Adesivação da porta de vidro (blindex) para maior privacidade,Sala passou a ser utilizada como sala dos professores,,,,,,
MATRIZ NOVA IGUAÇU,,Pintura geral do pátio,Melhorar apresentação e adequação do espaço de convivência,,,,,,
MATRIZ NOVA IGUAÇU,,Pintura interna de todas as salas,Manter boa apresentação e ambiente adequado ao aprendizado,,,,,,
MATRIZ NOVA IGUAÇU,,Pintura de piso e paredes da quadra,Melhorar estética e funcionalidade do espaço esportivo,,,,,,
MATRIZ NOVA IGUAÇU,,Pintura dos corredores de circulação,Reforçar organização e apresentação institucional,,,,,,
MATRIZ NOVA IGUAÇU,,Pintura de escadas e corrimões,Preservar aparência e segurança estrutural,,,,,,
MATRIZ NOVA IGUAÇU,,Pintura geral dos banheiros,"Melhorar higiene, estética e conservação",,,,,,
MATRIZ NOVA IGUAÇU,,Pintura geral da fachada,Reforçar imagem institucional e atratividade,,,,,,
MATRIZ NOVA IGUAÇU,,Pintura do espaço da secretaria,Melhorar apresentação e experiência de atendimento,,,,,,
MATRIZ NOVA IGUAÇU,,Implantação de sistema eletrônico de controle de entrada e frequência,Solução definitiva para substituir métodos manuais ineficientes,,,,,,
MATRIZ NOVA IGUAÇU,,Compra de projetores multimídia para aulas e projetos,"Suporte a aulas dinâmicas, apresentações e atividades pedagógicas",,,,,,
MATRIZ RETIRO,,"Implantação de câmeras em salas, quadra e corredor",Monitorar indisciplina e atender comparações com concorrentes,,,,,,
MATRIZ RETIRO,,Instalação de motor de abertura automática,"Aumentar segurança, controle de acesso e praticidade",,,,,,
MATRIZ RETIRO,,Tratamento estrutural contra infiltrações,Exigência da SEEDUC; risco de redução de capacidade de alunos,,,,,,
MATRIZ RETIRO,,Aquisição de acervo para todos os segmentos,Exigência da SEEDUC; suporte pedagógico,,,,,,
MATRIZ RETIRO,,Compra adicional de carteiras,Atender expansão de alunos em 2026,,,,,,
MATRIZ RETIRO,,Pintura de piso e paredes da quadra,Melhorar estética e funcionalidade esportiva,,,,,,
MATRIZ RETIRO,,Pintura geral dos corredores,Reforçar apresentação institucional,,,,,,
MATRIZ RETIRO,,Pintura das escadas e corrimões,Melhorar estética e segurança,,,,,,
MATRIZ RETIRO,,Pintura dos banheiros,Garantir higiene e conservação,,,,,,
MATRIZ RETIRO,,Pintura da fachada,Modernizar imagem institucional,,,,,,
MATRIZ RETIRO,,Pintura da secretaria,Melhorar estética e acolhimento no atendimento,,,,,,
MATRIZ RETIRO,,Instalação de sistema eletrônico,Controle confiável de entrada e frequência,,,,,,
MATRIZ ROCHA MIRANDA,,Padrão rede – EFAF e Médio,Carteiras do 2º andar estão velhas e necessitam reposição,,,,,,
MATRIZ ROCHA MIRANDA,,Tratamento acústico completo,Sala de alta performance (Espcex) com péssima acústica,,,,,,
MATRIZ ROCHA MIRANDA,,Instalação de 1 aparelho,Conforto e incentivo à cultura de estudos,,,,,,
MATRIZ ROCHA MIRANDA,,Projeto na biblioteca ao lado da inspetoria,Criar espaço adequado de estudos,,,,,,
MATRIZ ROCHA MIRANDA,,Instalação,Fluxo elevado de alunos e funcionários,,,,,,
MATRIZ ROCHA MIRANDA,,Instalação,Mesma justificativa acima,,,,,,
MATRIZ ROCHA MIRANDA,,"Nivelamento, irrigação e gramado novo",Gramado cheio de buracos; precisa estar pronto em fevereiro,,,,,,
MATRIZ ROCHA MIRANDA,,Substituição dos antigos,Equipamentos obsoletos e defeituosos constantes,,,,,,
MATRIZ ROCHA MIRANDA,,Troca por portão mais leve ou motor compatível,Problemas recorrentes e risco operacional,,,,,,
MATRIZ ROCHA MIRANDA,,Pode variar de pintura a repaginação completa,Fachada envelhecida; ainda remete ao antigo Salesiano,,,,,,
MATRIZ ROCHA MIRANDA,,"Troca de azulejos, instalação de pias coletivas, espelhos e portas",Estrutura antiga e deteriorada,,,,,,
MATRIZ ROCHA MIRANDA,,"Troca de azulejos, instalação de pias coletivas, espelhos e portas",Mesmo cenário do térreo,,,,,,
MATRIZ ROCHA MIRANDA,,"Troca de azulejos, instalação de pias coletivas, espelhos e portas",Estrutura de 50 anos sem reformas,,,,,,
MATRIZ ROCHA MIRANDA,,Aquisição de máquina,Áreas só podem ser limpas com esse equipamento,,,,,,
MATRIZ ROCHA MIRANDA,,Aquisição,Atual remendado e em más condições,,,,,,
MATRIZ ROCHA MIRANDA,,12 Novos conjuntos de convivência,Espaço de interação para alunos,,,,,,
MATRIZ ROCHA MIRANDA,,Notebook simples para multimídia,Uso em auditório e pátio,,,,,,
MATRIZ ROCHA MIRANDA,,Aquisição,Atualmente há apenas 1 disponível,,,,,,
MATRIZ ROCHA MIRANDA,,Aquisição,Situação precária; operação comprometida,,,,,,
MATRIZ ROCHA MIRANDA,,Pintura geral do pátio,Preservar ambiente adequado ao convívio,,,,,,
MATRIZ ROCHA MIRANDA,,Pintura interna de todas as salas,Melhorar apresentação e ambiente de aprendizado,,,,,,
MATRIZ ROCHA MIRANDA,,Pintura de piso e paredes da quadra,Melhorar estética e funcionalidade do espaço esportivo,,,,,,
MATRIZ ROCHA MIRANDA,,Pintura de corredores de circulação,Reforçar apresentação institucional,,,,,,
MATRIZ ROCHA MIRANDA,,Pintura de escadas e corrimões,Preservar estética e segurança,,,,,,
MATRIZ ROCHA MIRANDA,,Pintura geral dos banheiros,Melhorar higiene e conservação,,,,,,
MATRIZ ROCHA MIRANDA,,Pintura da fachada,Modernizar imagem institucional,,,,,,
MATRIZ ROCHA MIRANDA,,Pintura da secretaria,Melhorar experiência de atendimento,,,,,,
MATRIZ ROCHA MIRANDA,,Instalação de sistema eletrônico,Controle eficiente de entrada e frequência,,,,,,
MATRIZ SÃO JOÃO DE MERITI,,Aquisição de estante metálica para organização de documentos,Organização e armazenamento adequado das pastas,,,,,,
MATRIZ SÃO JOÃO DE MERITI,,Armário para utensílios e alimentos secos,Melhor organização e conservação,,,,,,
MATRIZ SÃO JOÃO DE MERITI,,"Armazenamento de apostilas, mídias e materiais pedagógicos",Garantir organização de insumos e segurança,,,,,,
MATRIZ SÃO JOÃO DE MERITI,,Substituição de cadeira danificada,Melhorar ergonomia e conforto do colaborador,,,,,,
MATRIZ SÃO JOÃO DE MERITI,,Substituição total das portas das salas,Portas desgastadas comprometem estética e segurança,,,,,,
MATRIZ SÃO JOÃO DE MERITI,,Instalação de porcelanato antiderrapante,"Banheiros antigos, encardidos e desgastados",,,,,,
MATRIZ SÃO JOÃO DE MERITI,,Instalação de 2 refletores LED de alta potência,Reforço da segurança da comunidade escolar,,,,,,
MATRIZ SÃO JOÃO DE MERITI,,Instalação de totem ou inclinação da logomarca na fachada,Melhor visibilidade institucional,,,,,,
MATRIZ SÃO JOÃO DE MERITI,,Troca de impressora colorida,Equipamento atual no fim da vida útil,,,,,,
MATRIZ SÃO JOÃO DE MERITI,,Construção de 3 novas salas no 3º piso,Aumentar capacidade de atendimento no turno da manhã,,,,,,
MATRIZ SÃO JOÃO DE MERITI,,Pintura geral do pátio,Garantir ambiente acolhedor e adequado ao convívio,,,,,,
MATRIZ SÃO JOÃO DE MERITI,,Pintura interna de todas as salas,Manter boa apresentação e ambiente adequado ao aprendizado,,,,,,
MATRIZ SÃO JOÃO DE MERITI,,Pintura do piso e paredes da quadra,Melhorar estética e funcionalidade esportiva,,,,,,
MATRIZ SÃO JOÃO DE MERITI,,Pintura dos corredores de circulação,Reforçar apresentação institucional,,,,,,
MATRIZ SÃO JOÃO DE MERITI,,Pintura das escadas e corrimões,Preservar estética e segurança,,,,,,
MATRIZ SÃO JOÃO DE MERITI,,Pintura geral dos banheiros,Garantir higiene e estética dos ambientes,,,,,,
MATRIZ SÃO JOÃO DE MERITI,,Pintura da fachada,Reforçar imagem institucional,,,,,,
MATRIZ SÃO JOÃO DE MERITI,,Pintura da secretaria,Melhorar estética e acolhimento,,,,,,
MATRIZ SÃO JOÃO DE MERITI,,Instalação de sistema eletrônico de controle de entrada e frequência,Substituir métodos manuais e aumentar confiabilidade,,,,,,
MATRIZ SÃO JOÃO DE MERITI,,Aquisição de projetores multimídia,"Suporte a aulas dinâmicas, apresentações e projetos",,,,,,
MATRIZ TAQUARA,,Instalação de isolamento na janela da sala 12,Reduzir ruído da quadra e melhorar condições de aula,,,,,,
MATRIZ TAQUARA,,Compra e instalação de bebedouro industrial,Suprir demanda no verão; bebedouros atuais insuficientes,,,,,,
MATRIZ TAQUARA,,Instalação de peças visuais na fachada lateral,Melhorar localização em rua de baixa movimentação e gerar impacto competitivo,,,,,,
MATRIZ TAQUARA,,Compra de nova mesa de totó,Garantir lazer de qualidade para os alunos,,,,,,
MATRIZ TAQUARA,,Substituição de cadeiras quebradas (quantidade a definir),Melhorar conforto e estrutura do ambiente escolar,,,,,,
MATRIZ TAQUARA,,Pintura de jogos pedagógicos no piso (EFAI),Incentivar recreação educativa e integração dos alunos,,,,,,
MATRIZ TAQUARA,,Aquisição de mais um brinquedo para alunos do EFAI,Aumentar opções de lazer e engajamento do público infantil,,,,,,
MATRIZ TAQUARA,,Compra de extintor adicional,Atender recomendação da empresa de manutenção; reforço de segurança,,,,,,
MATRIZ TAQUARA,,Pintura geral do pátio,Preservar ambiente adequado ao convívio,,,,,,
MATRIZ TAQUARA,,Pintura interna de todas as salas,Melhorar apresentação e ambiente de aprendizado,,,,,,
MATRIZ TAQUARA,,Pintura de piso e paredes da quadra,Melhorar estética e funcionalidade esportiva,,,,,,
MATRIZ TAQUARA,,Pintura dos corredores de circulação,Reforçar apresentação institucional,,,,,,
MATRIZ TAQUARA,,Pintura de escadas e corrimões,Melhorar estética e segurança estrutural,,,,,,
MATRIZ TAQUARA,,Pintura geral dos banheiros,Garantir higiene e conservação,,,,,,
MATRIZ TAQUARA,,Pintura da fachada principal,Reforçar imagem institucional,,,,,,
MATRIZ TAQUARA,,Pintura do espaço da secretaria,Melhorar estética e acolhimento,,,,,,
MATRIZ TAQUARA,,Instalação de sistema eletrônico de controle,Substituir métodos manuais e aumentar confiabilidade,,,,,,
MATRIZ TAQUARA,,Aquisição de projetores multimídia (quantidade em definição),"Suporte a aulas dinâmicas, apresentações e projetos",,,,,,
MATRIZ TIJUCA,,Substituição parcial para conter vazamentos,"Em dias de chuva a quadra fica inutilizada, prejudicando logística da unidade",,,,,,
MATRIZ TIJUCA,,Nivelamento e instalação de piso mais claro,"Melhorar luminosidade e segurança, evitando acidentes",,,,,,
MATRIZ TIJUCA,,Substituição completa das divisórias,"Estrutura precária, dificultando higienização e transmitindo descuido",,,,,,
MATRIZ TIJUCA,,Substituição completa das divisórias,Mesma justificativa acima,,,,,,
MATRIZ TIJUCA,,Construção de fechamento entre pátio e depósito,Evitar entrada de roedores e riscos sanitários,,,,,,
MATRIZ TIJUCA,,Troca/reparo de telhas das salas 5 e 6 e corredores,Vazamentos e goteiras em corredores próximos à escada,,,,,,
MATRIZ TIJUCA,,Correção do desnível entre salas 5 e 6,Prevenção de acidentes e melhoria estrutural,,,,,,
MATRIZ TIJUCA,,Aquisição de sofá novo,Conforto adequado para os professores,,,,,,
MATRIZ TIJUCA,,Aquisição de mesas com cadeiras,Espaço adequado para lanche e almoço dos alunos,,,,,,
MATRIZ TIJUCA,,Aquisição de novas carteiras,Déficit de mobiliário para turmas,,,,,,
MATRIZ TIJUCA,,Compra de puffs,Tornar ambiente mais acolhedor,,,,,,
MATRIZ TIJUCA,,Substituição da mesa de totó,Atual degradado; garantir lazer dos alunos,,,,,,
MATRIZ TIJUCA,,Aquisição de mesa de pingue-pongue,Ampliar opções de lazer estudantil,,,,,,
MATRIZ TIJUCA,,Realizar poda preventiva,Redução de mosquitos e riscos de queda,,,,,,
MATRIZ TIJUCA,,Instalação de sistema de monitoramento nas áreas comuns,Segurança e controle de indisciplina,,,,,,
MATRIZ TIJUCA,,Pintura geral do pátio,Preservar ambiente adequado ao convívio,,,,,,
MATRIZ TIJUCA,,Pintura interna de todas as salas,Reforçar apresentação e ambiente de aprendizado,,,,,,
MATRIZ TIJUCA,,Pintura de piso e paredes da quadra,Melhorar estética e funcionalidade esportiva,,,,,,
MATRIZ TIJUCA,,Pintura geral dos corredores,Melhorar apresentação institucional,,,,,,
MATRIZ TIJUCA,,Pintura das escadas e corrimões,Melhorar estética e segurança estrutural,,,,,,
MATRIZ TIJUCA,,Pintura geral dos banheiros,Garantir higiene e conservação,,,,,,
MATRIZ TIJUCA,,Pintura da fachada principal,Modernizar imagem institucional,,,,,,
MATRIZ TIJUCA,,Pintura da secretaria,Melhorar estética e acolhimento,,,,,,
MATRIZ TIJUCA,,Instalação de sistema eletrônico de controle,Substituir métodos manuais e aumentar confiabilidade,,,,,,
MATRIZ TIJUCA,,Aquisição de projetores multimídia (quantidade a definir),"Suporte a aulas dinâmicas, apresentações e projetos",,,,,,
CUBO BOTAFOGO,ARQUITETURA,Térreo - Galeria - Substituição de portas de madeira por venezianas,,ARQUITETURA,Resolvido,,,,
AMERICANO,MANUTENÇÃO,Sistema de alarme e cerca elétrica,Instalação dos sistemas,COMPRAS,,,,,
LEO ALFA,UNIDADE,EXECUÇÃO DE CALÇAMENTO ABAIXO DE COBERTURA DE POLICARBONATO,CONCRETAGEM,ARQUITETURA,Pendente,,,,
AMERICANO,UNIDADE,INSTALAÇÃO DE PIA COM BANCADA EM GRANITO,,ARQUITETURA,Pendente,,,,
AMERICANO,UNIDADE,COMPRA DE PLAYGROUND SIMPLES DE MADEIRA,,ARQUITETURA,Pendente,,,,
LEO ALFA,COMPRAS,notebooks e projetores - novas salas,TR 42983,COMPRAS,Resolvido,"R$ 98.965,00",SIM,SIM,
SAP,UNIDADE,ARMÁRIO PARA GUARDAR CELULARES,TR 42633,COMPRAS,Resolvido,"R$ 1.378,00",SIM,SIM,
CUBO ABM,COMPRAS,balcão para porteiro,TR 40886,COMPRAS,Resolvido,"R$ 1.260,00",SIM,SIM,
CUBO BOTAFOGO,COMPRAS,Climatizador de coluna,TR 41609,COMPRAS,Resolvido,"R$ 7.076,06",SIM,SIM,
QI FREGUESIA,MANUTENÇÃO,RECUPERAÇÃO DE TELHADO,TR 72715,COMPRAS,Resolvido,"R$ 15.600,00",SIM,SIM,
APOGEU SANTO ANTÔNIO 2,COMPRAS,nobreak para uso na unidade,TR 41762,COMPRAS,Resolvido,"R$ 2.089,00",SIM,SIM,
SAP,UNIDADE,NOTEBOOK E PROJETOR,TR 43029,COMPRAS,Resolvido,"R$ 5.892,00",SIM,SIM,
MATRIZ TIJUCA,COMPRAS,notebook e carregador,TR 42992,COMPRAS,Resolvido,"R$ 3.087,18",SIM,SIM,
MATRIZ MADUREIRA,COMPRAS,scanner e chromebook,TR 43000,COMPRAS,Resolvido,"R$ 5.947,52",SIM,SIM,
MATRIZ SÃO JOÃO DE MERITI,COMPRAS,notebook e chromebook,TR 43001,COMPRAS,Resolvido,"R$ 9.074,00",SIM,SIM,
MATRIZ ROCHA MIRANDA,COMPRAS,chromebook,TR 43005,COMPRAS,Resolvido,"R$ 3.078,00",SIM,SIM,
QI TIJUCA,COMPRAS,notebook,TR 43009,COMPRAS,Resolvido,"R$ 4.495,36",SIM,SIM,
SAP,MANUTENÇÃO,AC PARA TROCA NA COPA,TR 46456,COMPRAS,Resolvido,"R$ 2.199,00",SIM,SIM,
QI TIJUCA,COMPRAS,maquina de gelo,TR 44558,COMPRAS,Resolvido,"R$ 663,71",SIM,SIM,
UNIFICADO RAMIRO,COMPRAS,noteebook,TR 43133,COMPRAS,Resolvido,"R$ 3.256,90",SIM,SIM,
SAP,UNIDADE,REDE DE PROTEÇÃO NA VARANDA DA SALA DOS PROFESSORES E NA SALA COORD.,TR 66416,COMPRAS,Resolvido,"R$ 650,00",SIM,SIM,
QI TIJUCA,COMPRAS,ar condicionado de janela,TR 49026,COMPRAS,Resolvido,"R$ 5.060,00",SIM,SIM,
LEO ALFA,COMPRAS,mesas e cadeiras para cantina,TR 44684,COMPRAS,Resolvido,"R$ 13.146,24",SIM,SIM,
LEO BETA,COMPRAS,ar condicionados,TR 51187,COMPRAS,Resolvido,"R$ 11.600,00",SIM,SIM,
MATRIZ CAMPO GRANDE,COMPRAS,material de informatica,TR 50329,COMPRAS,Resolvido,"R$ 429,50",SIM,SIM,
MATRIZ CAXIAS,COMPRAS,scanner,TR 50336,COMPRAS,Resolvido,"R$ 2.658,67",SIM,SIM,
MATRIZ SÃO JOÃO DE MERITI,COMPRAS,notebook,TR 50346,COMPRAS,Resolvido,"R$ 316,78",SIM,SIM,
MATRIZ ROCHA MIRANDA,COMPRAS,notebook e scanner,TR 50342,COMPRAS,Resolvido,"R$ 3.080,08",SIM,SIM,
APOGEU FERREIRA GUIMARÃES,COMPRAS,piso modular sport it,TR 50391,COMPRAS,Resolvido,"R$ 1.916,00",SIM,SIM,
SÁ PEREIRA MATRIZ,COMPRAS,notebook,TR 50361,COMPRAS,Resolvido,"R$ 2.552,99",SIM,SIM,
QI TIJUCA,COMPRAS,quadra branco,TR 52077,COMPRAS,Resolvido,"R$ 2.150,00",SIM,SIM,
LEO ALFA,COMPRAS,rede de badminton,TR 52867,COMPRAS,Resolvido,"R$ 1.315,72",SIM,SIM,
LEO BETA,COMPRAS,púlpito,TR 54482,COMPRAS,Resolvido,"R$ 639,99",SIM,SIM,
GLOBAL TREE RECREIO,COMPRAS,ar condicionado,TR 55295,COMPRAS,Resolvido,"R$ 9.198,00",SIM,SIM,
UNIFICADO ZONA SUL,COMPRAS,ar condicionado,TR 56538,COMPRAS,Resolvido,"R$ 2.177,00",SIM,SIM,
MATRIZ CAMPO GRANDE,COMPRAS,material para infra no galpão,TR 56946,COMPRAS,Resolvido,"R$ 11.759,00",SIM,SIM,
APOGEU FERREIRA GUIMARÃES,COMPRAS,notebook,TR 54088,COMPRAS,Resolvido,"R$ 2.998,00",SIM,SIM,
GLOBAL TREE PENÍNSULA,MANUTENÇÃO,Material de manutenção - Elétrico (material referente a pressurização da escada),95237,COMPRAS,Resolvido,"R$ 42.626,77",SIM,SIM,
SÁ PEREIRA CAPISTRANO,COMPRAS,ar condicionado,TR 58041,COMPRAS,Resolvido,"R$ 7.998,00",SIM,SIM,
QI TIJUCA,COMPRAS,notebook,TR 58979,COMPRAS,Resolvido,"R$ 4.048,99",SIM,SIM,
SÁ PEREIRA MATRIZ,COMPRAS,bebedouro industrial,TR 59930,COMPRAS,Resolvido,"R$ 2.397,00",SIM,SIM,
MATRIZ TIJUCA,COMPRAS,substituição de servidor,TR 60225,COMPRAS,Resolvido,"R$ 3.431,99",SIM,SIM,
QI METROPOLITANO,COMPRAS,tela de proteção retratil e eletrica,TR 59059,COMPRAS,Resolvido,"R$ 6.110,00",SIM,SIM,
LEO BETA,COMPRAS,projetor portatil,TR 67703,COMPRAS,Resolvido,"R$ 1.090,99",SIM,SIM,
CUBO BOTAFOGO,COMPRAS,Moveis para sala de podcast,TR 70840,COMPRAS,Resolvido,"R$ 7.465,00",SIM,SIM,
SÁ PEREIRA MATRIZ,COMPRAS,estantes,TR 71430,COMPRAS,Resolvido,"R$ 12.431,65",SIM,SIM,
QI METROPOLITANO,COMPRAS,ar condicionado,TR 73241,COMPRAS,Resolvido,"R$ 6.524,08",SIM,SIM,
CUBO ABM,COMPRAS,quadros de aviso,TR 70841,COMPRAS,Resolvido,"R$ 4.855,00",SIM,SIM,
CUBO BOTAFOGO,COMPRAS,Instalação de persiana,TR 33618,COMPRAS,Resolvido,"R$ 1.400,00",SIM,SIM,
MATRIZ NOVA IGUAÇU,COMPRAS,colocação de insulfilm,TR 45363,COMPRAS,Resolvido,"R$ 4.584,00",SIM,SIM,
MATRIZ NOVA IGUAÇU,COMPRAS,precisa fazer reparos nas divisórias do banheiro feminino do térreo e do banheiro do 1 andar M e F,TR 47632,COMPRAS,Resolvido,"R$ 975,00",SIM,SIM,
APOGEU ZONA NORTE,COMPRAS,persianas para sala de aula,TR 49805,COMPRAS,Resolvido,"R$ 3.680,00",SIM,SIM,
QI METROPOLITANO,COMPRAS,Ligação de esgoto irregular - Notificação Aguas do Rio em anexo,TR 51756,COMPRAS,Resolvido,"R$ 8.500,00",SIM,SIM,
